"","id","advmath8","urban","region","gender","famsize","parmarl8","homelang","slfcnc08","slfcnc10","slfcnc12","schtyp8","tcherint","late12","cuts12","absent12","approg","hwkin12","hwkout12","excurr12","computer","hsprog","unitengl","unitmath","unitcalc","schattrt","apoffer","nursery","algebra8","numinst","edexpect","expinc30","achrdg08","achmat08","achsci08","achsls08","achrdg10","achmat10","achsci10","achsls10","achrdg12","achmat12","achsci12","achsls12","cigarett","alcbinge","marijuan","ses"
"71",71,"Yes","Suburban","North Central","Female",5,"Married","English Only",23,32,37,"Public","Agree","Never","Never","3-6 Times","Yes","13-15 Hours","10-12 Hours","10 - 14 Hours","Yes","Rigorous Academic",4,3,0,96,0,"8","Yes",2,"Master's Degree",50000,48.51,64.69,42.82,49.8,54.16,58.64,49.02,46.16,58.31,56.15,54.65,48.04,"Never","Never","Never",11
"72",72,"No","Rural","North Central","Female",5,"98","English Only",11,18,29,"Public","Agree","1-2 Times","Never","3-6 Times","No","1-3 Hours","4-6 Hours","None","No","Rigorous Academic",5,4,0,94,0,"Yes","No",1,"Bachelor's Degree",25000,40,43.61,44.59,47.51,50.86,45.54,53.61,45.85,50.54,47.83,54.75,48.28,"Never","Never","Never",13
"73",73,"Yes","Suburban","North Central","Female",4,"Married","English Only",18,32,30,"Public","Agree","Never","Never","1-2 Times","No","Over 20 Hours","7-9 Hours","10 - 14 Hours","No","Rigorous Academic",4,4.5,1,998,0,"Yes","Yes",1,"Master's Degree",45000,54.72,51.16,48.69,50.25,58.62,50.22,46.79,45.38,46.94,53.79,46.41,42.58,"Never","Never","Never",12
"74",74,"Yes","Suburban","North Central","Male",9,"98","English Dominant",24,26,35,"Public","Agree","7-9 Times","3-6 Times","1-2 Times","Yes","10-12 Hours","10-12 Hours","1 - 4 Hours","Yes","Other",3,2,0,998,0,NA,NA,1,"Master's Degree",30000,39.64,43.99,38.3,34.93,40.88,55.35,56.18,45.87,33.67,55.71,32.63,51.25,"Yes","Never","Never",10
"75",75,"No","Suburban","Northeast","Female",6,"Married","English Only",15,7,25,"Private, Religious","Agree","3-6 Times","3-6 Times","7-9 Times","No","4-6 Hours","4-6 Hours","None","Yes","Academic",3.5,3,0,95,0,"No","No",2,"Less than College Degree",60000,54.24,46.55,48.88,47.13,60.06,47.72,50.17,52.58,51.44,42.74,49.13,54.46,"Yes","Never","Yes",15
"76",76,"No","Suburban","Northeast","Male",6,"98","English Only",27,26,43,"Private, Religious","Strongly Agree","1-2 Times","Never","3-6 Times","Yes","4-6 Hours","13-15 Hours","15 - 19 Hours","Yes","Academic",4.25,4,1,97,7,NA,NA,2,"Master's Degree",70000,60.99,57.04,61.96,62.23,65.39,61.98,60.03,63.19,62.23,63.42,59.17,64.58,"Never","Yes","Never",21
"77",77,"No","Suburban","Northeast","Female",4,"98","Non-English Dominant",21,24,30,"Private, Religious","Disagree","3-6 Times","Never","1-2 Times","Yes","1-3 Hours","7-9 Hours","1 - 4 Hours","No","Academic",4,2,0,998,3,NA,NA,1,"Bachelor's Degree",50000,49.55,52.98,53.73,55.6,60.08,57.5,52.32,58.48,56.91,60.78,49.42,50.46,"Yes","Yes","Never",12
"78",78,"No","Suburban","Northeast","Female",4,"Married","English Only",17,7,16,"Private, Religious","Agree","3-6 Times","Never","3-6 Times","No","Less than 1 Hour","Less than 1 Hour","1 - 4 Hours","No","Academic",3,4,0,95,0,"Yes","No",1,"Bachelor's Degree",43000,66.05,60.31,47.63,48.32,47.92,59.71,55.22,49.3,52.01,58.71,61.1,60.64,"Yes","Yes","Yes",22
"79",79,"Yes","Suburban","Northeast","Male",2,"98","English Only",20,33,41,"Private, Religious","Agree","3-6 Times","3-6 Times","Never","No","4-6 Hours","1-3 Hours","1 - 4 Hours","No","Academic",4,1.75,0,998,6,NA,NA,1,"Master's Degree",50000,49.04,42.67,49.86,99.98,39.47,45.01,45.64,40.38,57.5,40.78,46,48.87,"Never","Never","Never",14
"80",80,"No","Suburban","Northeast","Male",7,"98","Non-English Dominant",23,28,27,"Private, Religious","Disagree","1-2 Times","1-2 Times","1-2 Times","No","1-3 Hours","Less than 1 Hour","None","Yes","Academic",3,3,0,94,2,NA,NA,1,"Bachelor's Degree",55000,37.17,46.67,45.9,38.59,42.41,50.83,48.39,50.33,34.71,48.53,50.31,51.71,"Yes","Never","Yes",10
"81",81,"Yes","Rural","Northeast","Female",6,"98","English Only",19,29,35,"Private, Religious","Agree","1-2 Times","Never","3-6 Times","Yes","1-3 Hours","1-3 Hours","1 - 4 Hours","No","Rigorous Academic",4,5,1,95,4,NA,NA,1,"Master's Degree",35000,70.55,67.23,60.27,67.25,66.02,66.45,58.73,65.09,66.74,63.68,63.14,61.94,"Never","Yes","Yes",18
"82",82,"No","Suburban","Northeast","Female",3,"Married","English Only",21,19,27,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","No","Less than 1 Hour","1-3 Hours","None","No","Other",3.25,1,0,95,4,"No","No",1,"Less than College Degree",20000,38.96,37.14,45.48,45.12,42.13,36.9,37.25,41.81,39.15,34.36,38.76,41.92,"Never","Never","Never",16
"83",83,"Yes","Suburban","North Central","Female",4,"Married","English Only",17,20,32,"Private, Religious","Agree","3-6 Times","Never","1-2 Times","Yes","10-12 Hours","16-20 Hours","1 - 4 Hours","No","Rigorous Academic",5,3.5,0,96,6,"Yes","Yes",1,"Master's Degree",50000,42.12,45.86,40.08,47.05,49.17,45.59,48.89,45.91,47.24,47.73,52.78,46.38,"Never","Never","Never",15
"84",84,"No","Rural","North Central","Male",5,"Married","English Only",20,21,29,"Private, Religious","Strongly Disagree","7-9 Times","10-15 Times","Never","No","10-12 Hours","1-3 Hours","Less than 1 Hour","No","Academic",4,3,0,96,6,"Yes","Yes",1,"Bachelor's Degree",40000,64.4,55.33,61.12,58.23,58.42,56.21,49.69,64.07,59.16,57.13,58.46,57.35,"Never","Yes","Yes",9
"85",85,"No","Suburban","Northeast","Male",4,"Married","English Only",24,19,27,"Private, Religious","Agree","3-6 Times","Never","3-6 Times","No","1-3 Hours","1-3 Hours","20 - 24 Hours","Yes","Rigorous Academic",4,3,0,96,0,"Yes","Yes",1,"Bachelor's Degree",45000,70.55,48.92,53.33,66.56,66.52,54.67,54.39,57.08,63.08,55.86,53.09,65.39,"Yes","Never","Yes",21
"86",86,"No","Suburban","Northeast","Female",6,"Married","English Only",15,31,29,"Private, Religious","Agree","1-2 Times","1-2 Times","7-9 Times","Yes","1-3 Hours","1-3 Hours","1 - 4 Hours","No","Academic",4,4.5,0,96,0,"8","No",1,"Master's Degree",50000,65.35,57.97,62.43,56.97,59.49,59.77,61.04,53.52,58.4,62.14,58.4,57.61,"Never","Never","Never",22
"87",87,"No","Rural","Northeast","Male",4,"Married","English Only",30,35,41,"Private, Religious","Agree","7-9 Times","Never","3-6 Times","Yes","4-6 Hours","Over 20 Hours","5 - 9 Hours","No","Rigorous Academic",4,4,0,90,0,"No","No",1,"Master's Degree",-6,61.42,61.8,63.16,56.93,65.96,64.12,64.56,66.34,66.55,66.87,62.52,64.34,"Never","Never","Never",19
"88",88,"Yes","Rural","Northeast","Male",3,"Married","English Only",17,21,29,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","Yes","4-6 Hours","None","None","No","Rigorous Academic",4,4,0,90,0,"No","Yes",1,"Bachelor's Degree",25000,70.55,62.34,57.11,61.11,65.15,63.06,63.71,63.4,59.22,61.41,63.59,62.32,"Never","Never","Never",29
"89",89,"No","Suburban","North Central","Male",4,"Married","English Only",32,33,43,"Private, Religious","Agree","Never","Never","3-6 Times","Yes","1-3 Hours","10-12 Hours","10 - 14 Hours","Yes","Rigorous Academic",4,4,0,94,18,"Yes","No",1,"Bachelor's Degree",20000,52.34,46.3,45.33,48.3,54.18,51.01,56.03,53.9,59.74,59.48,50.59,50.07,"Never","Never","Never",13
"90",90,"No","Suburban","North Central","Male",4,"Married","English Only",25,18,41,"Private, Religious","Strongly Agree","Never","Never","1-2 Times","Yes","13-15 Hours","Over 20 Hours","5 - 9 Hours","Yes","Rigorous Academic",4.5,4,0,96,9,"Yes","No",2,"Ph.D., MD, JD, etc.",80000,64.29,58.76,73.6,71.94,61.9,60.42,66.5,67.74,62.39,67.75,68.29,70.04,"Never","Never","Never",28
"91",91,"No","Rural","North Central","Male",6,"Married","English Only",23,30,43,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","Yes","13-15 Hours","7-9 Hours","5 - 9 Hours","No","Academic",4,4,0,998,3,"Yes",NA,1,"Master's Degree",32000,52.69,53.68,58.66,58.97,48.11,52.68,58.51,48.59,47.08,61.13,63.29,58.11,"Never","Never","Never",19
"92",92,"No","Suburban","North Central","Female",5,"Married","English Only",19,18,29,"Private, Religious","Agree","1-2 Times","1-2 Times","3-6 Times","No","4-6 Hours","1-3 Hours","None","No","Some Vocational",4,2.5,0,97,0,"No","No",1,"Less than College Degree",25000,62.09,49.99,56.24,55.05,60.48,48.36,42.66,55.17,53.36,46.01,44.44,49.64,"Never","Never","Never",16
"93",93,"Missing","Suburban","North Central","Female",6,"Married","English Only",18,25,25,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","No","4-6 Hours","7-9 Hours","None","Yes","Academic",4,3,0,97,0,"No","No",1,"Master's Degree",30000,53.24,47.78,46.74,53.89,58.93,53.68,42.2,54.43,53.55,49.62,47.82,50.21,"Yes","Never","Never",18
"94",94,"Yes","Suburban","Northeast","Female",5,"Married","English Only",24,23,32,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","No","98","4-6 Hours","5 - 9 Hours","No","Rigorous Academic",4,4,1,93,0,"Yes","Yes",2,"Master's Degree",30000,59.95,65.81,67.36,53.34,66.63,64.39,54.75,54.42,57.99,63.07,55.47,55.64,"Never","Never","Never",11
"95",95,"No","Suburban","Northeast","Female",5,"Married","English Only",29,22,33,"Private, Religious","Agree","3-6 Times","Never","3-6 Times","No","Less than 1 Hour","4-6 Hours","1 - 4 Hours","Yes","Some Vocational",3.7,3,0,93,0,"Yes","Yes",1,"Bachelor's Degree",30000,50.34,39.54,38.55,46.82,53.66,41.7,47.09,50.4,60.74,53.21,49.47,50.8,"Never","Never","Never",25
"96",96,"No","Suburban","North Central","Male",6,"Married","English Dominant",17,29,40,"Private, Religious","Strongly Agree","7-9 Times","1-2 Times","1-2 Times","No","1-3 Hours","1-3 Hours","None","Yes","Academic",3.5,4,0,95,22,"Yes","No",2,"Master's Degree",50000,56.73,53.62,46.47,57.77,52.02,58.24,54.64,49.34,56.73,63.54,62.46,57.16,"Yes","Yes","Yes",31
"97",97,"Yes","Rural","South","Male",5,"Married","English Only",19,26,22,"Public","Strongly Agree","3-6 Times","1-2 Times","1-2 Times","Yes","7-9 Hours","16-20 Hours","5 - 9 Hours","Yes","Academic",4,3,0,91,3,"No","Yes",1,"Master's Degree",60000,50,51.32,66.49,54.19,59.41,54.43,61.63,51.09,59.04,52.99,60.31,52.52,"Never","Never","Yes",9
"98",98,"No","Rural","South","Female",4,"Married","English Only",18,19,29,"Public","Agree","3-6 Times","3-6 Times","7-9 Times","Yes","16-20 Hours","7-9 Hours","1 - 4 Hours","No","Some Vocational",4,4,0.5,998,0,"8",NA,1,"Bachelor's Degree",20000,52.69,64.82,47.46,64.93,55.11,57.09,52.81,43.51,52.92,57.38,51.5,47.18,"Yes","Never","Never",16
"99",99,"Yes","Urban","South","Female",4,"Married","English Only",18,19,31,"Public","Agree","1-2 Times","Never","1-2 Times","Yes","1-3 Hours","4-6 Hours","5 - 9 Hours","Yes","Academic",4,3,0,90,3,"Yes","No",1,"Master's Degree",30000,69.15,54.29,56.67,60.39,49.45,61.38,54.63,55.7,52.49,53.93,46.89,57.48,"Never","Never","Never",19
"100",100,"Yes","Urban","South","Male",6,"Married","English Only",17,20,39,"Public","Agree","Never","Never","1-2 Times","Yes","4-6 Hours","4-6 Hours","15 - 19 Hours","No","Rigorous Academic",4,3,0,95,11,"No","Yes",1,"Ph.D., MD, JD, etc.",65000,63.34,66.28,64.37,65.27,61.31,65.25,64.01,53.35,59.86,60.15,65.22,58.85,"Never","Never","Never",27
"101",101,"No","Suburban","South","Male",4,"Married","English Only",25,20,29,"Public","Agree","1-2 Times","Never","1-2 Times","Yes","4-6 Hours","10-12 Hours","5 - 9 Hours","Yes","Academic",4,3,0,998,3,"Yes","No",1,"Master's Degree",50000,39.47,46.44,52.8,52.08,52.08,53.7,55.53,55.13,55.16,49.62,54.14,53.46,"Never","Yes","Never",23
"102",102,"No","Rural","South","Male",2,"Never Married","English Only",25,32,22,"Public","Agree","1-2 Times","1-2 Times","3-6 Times","No","Less than 1 Hour","1-3 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,0,95,3,"Yes","No",2,"Bachelor's Degree",1e+06,52.64,46.93,46.03,50.94,57.07,55.76,38.38,57.71,53.35,52.37,46.09,52.01,"Never","Never","Never",21
"103",103,"No","Rural","South","Male",4,"Married","English Only",28,26,34,"Public","Strongly Agree","Never","Never","3-6 Times","Yes","Over 20 Hours","16-20 Hours","10 - 14 Hours","Yes","Academic",4,3,0,95,3,"8",NA,1,"Master's Degree",35000,57.68,54.87,70.79,54.06,64.64,63.73,68.5,61.9,65.98,62.25,64.31,61.44,"Never","Never","Never",8
"104",104,"No","Rural","South","Female",4,"Married","English Only",21,16,25,"Public","Agree","Never","Never","7-9 Times","No","1-3 Hours","Less than 1 Hour","Less than 1 Hour","No","Some Vocational",4,3,0,95,3,"No","Yes",1,"Bachelor's Degree",40000,48.92,51.47,53.11,48.55,49.25,50,39.95,46.94,49.87,53.78,42.86,49.5,"Yes","Never","Yes",10
"105",105,"Yes","Rural","South","Male",4,"Married","English Only",32,25,28,"Public","Agree","10-15 Times","Never","1-2 Times","No","4-6 Hours","1-3 Hours","1 - 4 Hours","Yes","Academic",4,4,0,95,3,"No","No",1,"Bachelor's Degree",45000,39,47.69,43.69,46.75,38.66,49.89,44.68,42.11,34.09,43.12,35.78,34.58,"Never","Yes","Never",19
"106",106,"No","Rural","South","Female",8,"Married","English Only",27,22,29,"Public","Agree","1-2 Times","Never","3-6 Times","No","1-3 Hours","7-9 Hours","Less than 1 Hour","No","Academic",4,4,0,998,4,"No","No",1,"Less than College Degree",-6,48.78,45.67,41.13,44.77,49.73,54.65,45.5,43.17,44.54,51.49,45.96,52.35,"Never","Never","Yes",2
"107",107,"No","Rural","South","Female",4,"Married","English Only",13,15,27,"Public","Disagree","7-9 Times","Never","Never","No","Less than 1 Hour","1-3 Hours","10 - 14 Hours","No","Academic",4,4,0,998,0,"No","No",1,"Bachelor's Degree",25000,57.17,56.71,52.91,44.91,54.45,51.74,54.54,47.85,57.62,53.05,48.93,52.76,"Never","Never","Yes",18
"108",108,"Yes","Suburban","South","Female",8,"Married","English Only",18,23,31,"Public","Agree","3-6 Times","Never","1-2 Times","No","10-12 Hours","4-6 Hours","Less than 1 Hour","No","Other",3,3,0,90,1,"No","No",1,"Less than College Degree",30000,57.12,57.41,59.89,55.54,45.84,42.62,36.41,42.44,40.92,35.48,37.27,36.73,"Never","Never","Never",14
"109",109,"No","Suburban","South","Male",5,"Married","English Only",21,20,36,"Public","Disagree","Over 15 Times","Never","7-9 Times","No","1-3 Hours","1-3 Hours","10 - 14 Hours","Yes","Academic",4,4,0,95,2,"8","No",2,"Master's Degree",33000,48.14,52.78,53.46,52.53,49.79,51.77,46.39,46.17,57.38,49.2,55.87,42.25,"Never","Never","Never",17
"110",110,"No","Suburban","South","Male",4,"Married","English Only",20,35,43,"Public","Disagree","Never","Never","3-6 Times","No","4-6 Hours","7-9 Hours","None","No","Some Vocational",4,3,0,95,0,"Yes","No",1,"Less than College Degree",40000,40.71,41.34,51.97,49.67,45.53,46.61,51.35,46.78,39.16,45.25,48.99,39.13,"Never","Never","Never",10
"111",111,"No","Suburban","South","Female",5,"Married","English Only",21,26,27,"Public","Agree","1-2 Times","Never","7-9 Times","Yes","4-6 Hours","1-3 Hours","5 - 9 Hours","No","Academic",4,2.5,0,95,2,"Yes","No",1,"Bachelor's Degree",35000,38.3,46.71,38.27,48.27,44.46,56.19,50.92,41.7,52.39,54.31,47.06,36.55,"Never","Never","Never",10
"112",112,"Yes","Suburban","South","Male",4,"Married","English Only",27,21,36,"Public","Agree","3-6 Times","Never","1-2 Times","No","7-9 Hours","4-6 Hours","25 or More Hours","No","Academic",4,4,0,95,2,"Yes","No",1,"Ph.D., MD, JD, etc.",135000,54.64,57.39,57.21,76.7,54.95,57.93,57.12,63.87,53.67,60.12,59.45,59.11,"Never","Yes","Never",28
"113",113,"Yes","Suburban","South","Male",5,"Married","English Only",22,24,27,"Public","Strongly Agree","1-2 Times","3-6 Times","1-2 Times","Yes","4-6 Hours","4-6 Hours","None","Yes","Rigorous Academic",4,4,1,95,2,"8","Yes",2,"Master's Degree",50000,59.56,52.9,73.59,70.56,61.07,56.53,69.54,70.84,61.05,55.99,67.22,69.13,"Yes","Yes","Never",17
"114",114,"No","Rural","South","Male",3,"Marriage-Like Relationship","English Only",21,21,33,"Public","Strongly Agree","1-2 Times","Never","3-6 Times","No","13-15 Hours","4-6 Hours","10 - 14 Hours","Yes","Academic",4,4,0,95,0,"No","No",1,"Less than College Degree",30000,44.29,58.09,48.27,48.28,42.51,54.35,50,37.63,37.44,51.85,51.23,39.91,"Never","Never","Never",10
"115",115,"Yes","Urban","South","Female",5,"Married","English Only",26,35,41,"Public","Agree","3-6 Times","Never","3-6 Times","Yes","4-6 Hours","13-15 Hours","1 - 4 Hours","Yes","Rigorous Academic",4,5,1,93,7,"Yes","Yes",1,"Master's Degree",25000,61.1,70.11,60.76,60.73,64.41,67.38,59.52,56.82,57.42,64.67,63.56,53.86,"Never","Never","Never",19
"116",116,"No","Rural","South","Male",4,"Married","English Only",17,15,29,"Public","Disagree","7-9 Times","Never","Never","Yes","4-6 Hours","4-6 Hours","5 - 9 Hours","Yes","Academic",5,4,0,998,6,"No","No",1,"Master's Degree",35000,50.75,42.74,54.61,49.56,47.02,50.11,57.08,61.55,51.81,48.05,49.27,54.57,"Never","Never","Never",20
"117",117,"Yes","Urban","South","Female",5,"Married","English Only",15,20,31,"Public","Agree","Never","Never","3-6 Times","Yes","4-6 Hours","13-15 Hours","15 - 19 Hours","Yes","Academic",3.99,4.99,1,998,7,"Yes","Yes",1,"Ph.D., MD, JD, etc.",1e+05,62.84,70.12,53.09,60.28,63.69,68.6,69.93,59.24,62.74,65.19,64.07,54.14,"Never","Never","Never",25
"118",118,"Yes","Suburban","South","Female",4,"Married","English Only",13,11,21,"Public","Agree","3-6 Times","Never","7-9 Times","Yes","1-3 Hours","4-6 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,0,94,3,"No","No",1,"Bachelor's Degree",50000,54.19,47.38,49.5,45.98,47.59,46.42,46.81,42.5,53.87,42.02,39.41,49.24,"Never","Never","Never",15
"119",119,"Yes","Suburban","South","Male",6,"Married","Non-English Dominant",24,25,37,"Public","Strongly Agree","3-6 Times","1-2 Times","Never","Yes","10-12 Hours","13-15 Hours","25 or More Hours","No","Rigorous Academic",4,3,0,998,5,"8","Yes",1,"Master's Degree",80000,54.27,54.19,62.97,64.92,57.2,52.79,60.34,68.47,58.24,51.33,58.83,60.03,"Never","Never","Never",4
"120",120,"Yes","Suburban","South","Female",5,"Married","English Only",19,21,41,"Public","Disagree","3-6 Times","3-6 Times","3-6 Times","No","7-9 Hours","4-6 Hours","Less than 1 Hour","Yes","Rigorous Academic",4,4,0,NA,NA,"Yes","Yes",1,"Ph.D., MD, JD, etc.",-6,39.34,40.24,41.21,40.74,42.21,38.87,38.18,45.27,44.41,42.56,37.93,43.96,"Never","Yes","Yes",5
"121",121,"No","Rural","South","Female",5,"Married","English Only",26,27,35,"Public","Agree","3-6 Times","Never","3-6 Times","Yes","4-6 Hours","4-6 Hours","1 - 4 Hours","No","Some Vocational",4,3,0,98,0,"Yes","No",1,"Bachelor's Degree",30000,58.76,45.92,48.31,47.48,53.33,47.33,50.78,63.52,56.91,49.96,46.77,53.48,"Yes","Yes","Never",12
"122",122,"Yes","Urban","South","Male",4,"Married","English Dominant",22,33,32,"Public","Disagree","Never","Never","3-6 Times","Yes","10-12 Hours","1-3 Hours","None","Yes","Rigorous Academic",4,5,0.5,92,5,"No","Yes",1,"Bachelor's Degree",30000,57.03,67.4,66.14,52.77,55.83,68.23,67.19,52.39,57.45,67.22,60.34,54.17,"Never","Never","Never",10
"123",123,"No","Urban","South","Female",8,"Married","English Dominant",20,18,33,"Public","Agree","7-9 Times","1-2 Times","Over 15 Times","No","Less than 1 Hour","1-3 Hours","None","No","Other",4,2,0,94,98,"No","No",1,"Less than College Degree",20000,35.82,38.72,42.33,39.28,38.75,40.63,37.79,42.34,43.34,44,39.11,47.56,"Yes","Never","Yes",10
"124",124,"No","Rural","South","Female",7,"Married","English Only",17,15,29,"Public","Strongly Agree","3-6 Times","Never","7-9 Times","No","7-9 Hours","13-15 Hours","5 - 9 Hours","No","Academic",4,4,0,97,98,"Yes",NA,1,"Bachelor's Degree",80000,39.41,52.45,38.66,41.3,38.59,49.69,40.68,43.49,41.69,49.15,39.49,44.27,"Never","Never","Never",13
"125",125,"No","Rural","South","Female",4,"Divorced","English Only",21,26,29,"Public","Strongly Agree","1-2 Times","Never","Never","Yes","7-9 Hours","4-6 Hours","10 - 14 Hours","No","Rigorous Academic",5,4,0,97,98,"No","No",1,"Bachelor's Degree",30000,45.36,47.21,47.5,53.57,40.69,44.81,37.6,54.07,49.2,46.91,42.13,44.38,"Never","Never","Never",0
"126",126,"No","Rural","South","Female",4,"Married","English Dominant",21,14,26,"Public","Disagree","Never","Never","3-6 Times","No","1-3 Hours","4-6 Hours","1 - 4 Hours","Yes","Some Vocational",4,3,0,97,98,"No","No",3,"Ph.D., MD, JD, etc.",50000,51.88,54.83,55.48,47.31,52.66,54.18,48.25,49.97,57.74,50.29,54.68,46.55,"Never","Never","Yes",22
"127",127,"No","Rural","South","Female",6,"Married","English Only",21,18,25,"Public","Agree","Never","3-6 Times","3-6 Times","No","4-6 Hours","1-3 Hours","10 - 14 Hours","No","Academic",5,4,0,998,0,"8","No",3,"Bachelor's Degree",25000,47.77,50.45,50.71,44.87,47.45,51.17,49.37,48.36,51.12,55.45,47.26,37.81,"Never","Never","Never",14
"128",128,"No","Rural","South","Male",5,"Married","English Only",19,29,35,"Public","Agree","Never","1-2 Times","1-2 Times","Yes","7-9 Hours","1-3 Hours","None","No","Academic",5,5,1,998,0,"No","No",1,"Less than College Degree",25000,59.82,67.46,67.23,64.07,60.95,69.97,69.29,62.49,52.31,66.14,68.29,59.79,"Never","Yes","Yes",18
"129",129,"Yes","Rural","South","Male",4,"Married","English Only",27,35,29,"Public","Agree","3-6 Times","Never","Never","Yes","1-3 Hours","1-3 Hours","1 - 4 Hours","No","Rigorous Academic",4,6,1,95,0,"8","Yes",1,"Master's Degree",40000,69.15,68.22,77.72,74.06,65.57,71.05,67.92,67.51,63.3,69.29,64.8,65.27,"Never","Never","Never",26
"130",130,"No","Rural","South","Female",6,"Married","English Dominant",22,18,32,"Public","Strongly Agree","3-6 Times","Never","10-15 Times","Yes","4-6 Hours","4-6 Hours","1 - 4 Hours","No","Rigorous Academic",4,3,0,95,0,"8","No",1,"Less than College Degree",25000,45.32,37.24,37.3,43.38,41.51,39.91,41.82,43.83,34.95,41.25,42.12,37.82,"Never","Never","Never",8
"131",131,"Yes","Suburban","South","Male",7,"Married","English Only",20,33,41,"Public","Agree","1-2 Times","Never","1-2 Times","Yes","7-9 Hours","1-3 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,1,94,2,"Yes","Yes",1,"Bachelor's Degree",30000,70.55,75.04,73.43,73.96,62.16,69.71,70.12,72.89,66.25,70.49,68.78,70.04,"Never","Never","Never",18
"132",132,"No","Rural","South","Male",4,"Divorced","English Only",25,20,36,"Public","Agree","1-2 Times","Never","3-6 Times","Yes","Over 20 Hours","Over 20 Hours","25 or More Hours","Yes","Academic",4,3,0.5,95,0,"Yes","Yes",1,"Master's Degree",50000,43.71,56.85,49.21,44.2,54.71,64.53,61.23,46.31,61.12,63.49,66.04,62.28,"Never","Never","Never",17
"133",133,"No","Rural","South","Female",4,"Marriage-Like Relationship","English Only",13,16,16,"Public","Agree","10-15 Times","1-2 Times","1-2 Times","No","10-12 Hours","4-6 Hours","Less than 1 Hour","No","Academic",4,3,0,94,98,"Yes","Yes",1,"Master's Degree",35000,45.67,43.26,47.68,58.63,54.83,40.25,46.35,48.71,56.49,42.12,51.24,61.26,"Yes","Yes","Yes",13
"134",134,"Yes","Rural","South","Female",5,"Married","English Only",18,18,25,"Public","Agree","Never","Never","1-2 Times","No","4-6 Hours","7-9 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,1,94,0,"Yes","Yes",1,"Master's Degree",22000,64.65,65.94,58.96,73.96,60.95,65.51,68.08,64.87,60.96,66.14,61.92,60.41,"Never","Never","Never",19
"135",135,"No","Suburban","South","Male",5,"Married","English Only",25,24,29,"Public","Agree","3-6 Times","Never","1-2 Times","No","10-12 Hours","Less than 1 Hour","1 - 4 Hours","No","Rigorous Academic",4,4,0,94,0,"No","No",1,"Less than College Degree",40000,43.82,56.19,53.3,45.11,49.39,56.68,55.24,44.09,53.28,61.48,45.34,39.94,"Never","Never","Never",8
"136",136,"Yes","Urban","South","Male",6,"Married","Non-English Dominant",15,26,39,"Public","Agree","Never","Never","Never","Yes","13-15 Hours","13-15 Hours","None","No","Rigorous Academic",4,5,1,93,1,"No","Yes",1,"Ph.D., MD, JD, etc.",35000,54.09,54.92,48.93,52.29,39.42,50.51,38.61,49.45,45.75,53.12,50.03,52,"Never","Never","Never",9
"137",137,"No","Urban","South","Male",5,"98","Non-English Dominant",17,20,33,"Public","Agree","3-6 Times","1-2 Times","1-2 Times","Yes","98","1-3 Hours","Less than 1 Hour","No","Academic",5,4,0,91,12,NA,NA,2,"Bachelor's Degree",80000,55.21,39.96,50.85,39.85,40.42,40.75,35.12,42.67,38.93,43.02,99.98,99.98,"Never","Never","Never",11
"138",138,"Yes","Urban","South","Female",5,"98","English Dominant",25,23,27,"Public","Agree","7-9 Times","1-2 Times","3-6 Times","Yes","None","4-6 Hours","1 - 4 Hours","No","Some Vocational",5.5,5,1,91,12,NA,NA,2,"Ph.D., MD, JD, etc.",50000,53.42,58.31,47.63,50.27,54.38,61.76,52.96,50.1,50.05,59.11,48.47,55.99,"Yes","Yes","Never",23
"139",139,"No","Rural","South","Male",8,"Married","Non-English Dominant",26,22,31,"Public","Strongly Agree","Never","Never","Never","Yes","1-3 Hours","4-6 Hours","10 - 14 Hours","No","Rigorous Academic",5,3,0,998,0,"8","No",1,"Bachelor's Degree",60000,50.14,49.76,60.14,58.33,56.53,60.05,62.07,51.22,42.04,52.63,52.7,55.79,"Never","Never","Never",6
"140",140,"Yes","Rural","South","Female",4,"Married","English Only",26,23,37,"Public","Strongly Agree","1-2 Times","Never","3-6 Times","No","Less than 1 Hour","None","Less than 1 Hour","No","Academic",4,3,0,96,0,"Yes","No",1,"Bachelor's Degree",-6,61.99,52.27,57.23,60.76,65.55,50.86,59.27,62.05,59.53,52.44,55.01,55.66,"Never","Never","Never",7
"141",141,"Yes","Suburban","South","Male",5,"Married","English Only",30,23,32,"Public","Agree","1-2 Times","Never","3-6 Times","No","7-9 Hours","10-12 Hours","Less than 1 Hour","No","Rigorous Academic",4,3,0,95,4,"No","Yes",1,"Bachelor's Degree",40000,53.66,66.37,55.23,64.9,62.25,66.17,56.06,72.89,62.72,66.01,55.34,64.64,"Never","Never","Never",16
